value,finger,shift,weight
a,l_pinky,False,100
b,l_index,False,100
c,l_mid,False,100
d,l_mid,False,100
e,l_mid,False,100
f,l_index,False,100
g,l_index,False,100
h,r_index,False,100
i,r_mid,False,100
j,r_index,False,100
k,r_mid,False,100
l,r_ring,False,100
m,r_index,False,100
n,r_index,False,100
o,r_ring,False,100
p,r_pinky,False,100
q,l_pinky,False,100
r,l_index,False,100
s,l_ring,False,100
t,l_index,False,100
u,r_index,False,100
v,l_index,False,100
w,l_ring,False,100
x,l_ring,False,100
y,r_index,False,100
z,l_pinky,False,100
